Frequency (Hz)	Level (dB)
4914.953613	-143.883774
4920.336914	-142.411041
4925.720215	-137.974182
4931.103516	-139.276810
4936.486816	-142.691681
4941.870117	-131.890884
4947.253418	-128.762466
4952.636719	-119.687195
4958.020020	-107.915230
4963.403320	-70.794861
4968.786621	-64.218231
4974.169922	-69.692101
4979.553223	-106.651543
4984.936523	-118.286591
4990.319824	-127.391441
4995.703125	-133.416672
5001.086426	-134.003128
5006.469727	-145.336502
5011.853027	-148.768707
5017.236328	-146.913589
5022.619629	-139.348068
5028.002930	-140.248642
5033.386230	-140.412933
5038.769531	-138.566986
5044.152832	-137.090866
5049.536133	-156.058945
5054.919434	-140.283600
5060.302734	-141.193741
5065.686035	-147.090958
5071.069336	-148.298706
5076.452637	-148.424973
5081.835938	-138.593964
5087.219238	-140.300903
5092.602539	-145.346634
5097.985840	-145.941483
5103.369141	-140.698441
5108.752441	-146.248764
5114.135742	-139.557220
5119.519043	-134.033707
5124.902344	-132.794800
5130.285645	-133.360428
5135.668945	-127.153366
5141.052246	-124.141068
5146.435547	-121.121071
5151.818848	-114.454391
5157.202148	-108.064331
5162.585449	-98.500847
5167.968750	-81.608025
5173.352051	-67.586533
5178.735352	-67.558968
5184.118652	-81.483490
5189.501953	-98.455101
5194.885254	-107.952705
5200.268555	-114.794701
5205.651855	-119.981789
5211.035156	-124.109825
5216.418457	-129.236374
5221.801758	-131.646027
5227.185059	-137.646942
5232.568359	-133.711609
5237.951660	-143.934525
5243.334961	-135.320190
5248.718262	-143.576370
5254.101562	-139.563080
5259.484863	-149.784943
5264.868164	-138.052734
5270.251465	-136.298553
5275.634766	-146.012726
5281.018066	-157.825165
5286.401367	-143.747253
5291.784668	-139.292175
5297.167969	-138.750305
5302.551270	-144.059341
5307.934570	-143.354218
5313.317871	-136.192688
5318.701172	-142.301117
5324.084473	-136.696548
5329.467773	-137.013626
5334.851074	-148.429840
5340.234375	-141.239182
5345.617676	-137.049301
5351.000977	-140.101410
5356.384277	-143.597458
5361.767578	-141.541916
5367.150879	-141.503235
5372.534180	-129.288147
5377.917480	-93.414452
5383.300781	-87.890190
5388.684082	-94.411995
5394.067383	-131.542130
5399.450684	-144.485779
5404.833984	-135.547028
5410.217285	-139.765854
5415.600586	-143.963165
5420.983887	-145.122025
5426.367188	-136.911316
5431.750488	-135.027756
5437.133789	-146.606232
5442.517090	-134.568954
5447.900391	-138.312866
5453.283691	-137.639191
5458.666992	-138.770706
5464.050293	-141.528046
5469.433594	-148.373947
5474.816895	-145.089249
5480.200195	-140.711380
5485.583496	-136.608002
5490.966797	-135.495010
5496.350098	-136.006866
5501.733398	-143.502411
5507.116699	-150.517029
5512.500000	-136.220291
5517.883301	-137.619873
5523.266602	-139.374191
5528.649902	-138.001175
5534.033203	-134.086090
5539.416504	-137.558960
5544.799805	-133.305420
5550.183105	-125.838448
5555.566406	-126.656754
5560.949707	-120.267342
5566.333008	-114.330177
5571.716309	-107.454422
5577.099609	-97.846046
5582.482910	-79.578239
5587.866211	-67.133698
5593.249512	-68.031502
5598.632812	-83.724930
5604.016113	-99.609123
5609.399414	-108.643608
5614.782715	-116.249809
5620.166016	-119.810905
5625.549316	-127.398232
5630.932617	-126.303268
5636.315918	-133.781693
5641.699219	-134.941895
5647.082520	-131.899765
5652.465820	-142.972153
5657.849121	-131.018860
5663.232422	-131.056488
5668.615723	-144.587585
5673.999023	-135.939728
5679.382324	-139.189377
5684.765625	-137.170959
5690.148926	-160.961716
5695.532227	-143.259201
5700.915527	-141.865707
5706.298828	-145.967346
5711.682129	-135.141296
5717.065430	-135.111908
5722.448730	-136.329636
5727.832031	-138.235977
5733.215332	-133.531464
5738.598633	-137.655106
5743.981934	-139.470352
5749.365234	-141.501297
5754.748535	-146.378922
5760.131836	-134.987595
5765.515137	-150.123978
5770.898438	-133.987839
5776.281738	-126.064613
5781.665039	-124.783928
5787.048340	-108.449982
5792.431641	-80.930267
5797.814941	-76.401184
5803.198242	-83.989098
5808.581543	-113.012016
5813.964844	-122.685379
5819.348145	-130.234406
5824.731445	-137.051498
5830.114746	-148.950882
5835.498047	-133.883713
5840.881348	-135.471878
5846.264648	-134.283249
5851.647949	-151.773834
5857.031250	-136.679916
5862.414551	-136.350372
5867.797852	-138.805847
5873.181152	-137.854156
5878.564453	-139.038925
5883.947754	-135.821899
5889.331055	-135.293167
5894.714355	-139.974670
5900.097656	-131.537430
5905.480957	-133.152115
5910.864258	-133.489761
5916.247559	-138.311722
5921.630859	-134.562042
5927.014160	-133.898941
5932.397461	-134.709183
5937.780762	-148.088455
5943.164062	-152.512222
5948.547363	-128.223434
5953.930664	-138.368744
5959.313965	-127.348305
5964.697266	-130.488342
5970.080566	-124.752472
5975.463867	-119.273560
5980.847168	-115.350693
5986.230469	-107.548660
5991.613770	-97.548088
5996.997070	-77.731415
6002.380371	-66.695030
6007.763672	-68.523796
6013.146973	-86.341293
6018.530273	-101.013008
6023.913574	-110.269974
6029.296875	-117.014771
6034.680176	-122.544121
6040.063477	-124.113884
6045.446777	-131.279999
6050.830078	-132.835632
6056.213379	-126.590385
6061.596680	-148.710693
6066.979980	-137.511948
6072.363281	-137.581268
6077.746582	-133.559891
6083.129883	-143.165558
6088.513184	-136.427811
6093.896484	-141.175018
6099.279785	-132.647766
6104.663086	-131.042419
6110.046387	-137.666000
6115.429688	-130.827682
6120.812988	-129.643646
6126.196289	-133.332504
6131.579590	-134.402756
6136.962891	-135.055954
6142.346191	-134.505615
6147.729492	-133.605118
6153.112793	-132.692215
6158.496094	-136.325394
6163.879395	-130.211060
6169.262695	-132.762482
6174.645996	-126.132469
6180.029297	-131.629135
6185.412598	-118.161064
6190.795898	-115.762825
6196.179199	-105.983833
6201.562500	-92.700577
6206.945801	-69.618317
6212.329102	-66.062119
6217.712402	-74.803284
6223.095703	-99.112953
6228.479004	-109.848618
6233.862305	-116.973251
6239.245605	-122.653137
6244.628906	-128.348389
6250.012207	-127.839859
6255.395508	-138.093826
6260.778809	-131.372330
6266.162109	-134.288071
6271.545410	-129.335831
6276.928711	-137.241043
6282.312012	-142.017853
6287.695312	-144.440323
6293.078613	-133.815125
6298.461914	-135.048340
6303.845215	-135.737762
6309.228516	-137.726135
6314.611816	-132.943817
6319.995117	-135.508347
6325.378418	-134.058945
6330.761719	-132.503448
